Category,EndpointUri,Method,Function,Example,Complete,Notes
Account,/v2/account/variable,PUT,New-DattoRMMAccountVariable,,Yes,
Account,/v2/account/variable/{variableId},POST,Set-DattoRMMAccountVariable,,Yes,
Account,/v2/account/variable/{variableId},DELETE,Remove-DattoRMMAccountVariable,,Yes,
Account,/v2/account,GET,Get-DattoRMMAccount,,Yes,
Account,/v2/account/variables,GET,Get-DattoRMMAccountVariable,,Yes,
Account,/v2/account/users,GET,Get-DattoRMMAccountUser,,Yes,
Account,/v2/account/sites,GET,Get-DattoRMMAccountSite,,Yes,
Account,/v2/account/dnet-site-mappings,GET,Get-DattoRMMAccountDnetSiteMapping,,Yes,
Account,/v2/account/devices,GET,Get-DattoRMMAccountDevice,,Yes,
Account,/v2/account/components,GET,Get-DattoRMMAccountComponent,,Yes,
Account,/v2/account/alerts/resolved,GET,Get-DattoRMMAccountAlert,,Yes,
Account,/v2/account/alerts/open,GET,Get-DattoRMMAccountAlert,,Yes,
Activity-Logs,/v2/activity-logs,GET,Get-DattoRMMActivityLog,,Yes,
Alert,/v2/alert/{alertUid}/resolve,POST,Set-DattoRMMAlert,,Yes,
Audit,/v2/alert/{alertUid},GET,Get-DattoRMMAlert,,Yes,
Audit,/v2/audit/printer/{deviceUid},GET,Get-DattoRMMAuditPrinter,,Yes,
Audit,/v2/audit/esxihost/{deviceUid},GET,Get-DattoRMMAuditESXI,,Yes,
Audit,/v2/audit/device/{deviceUid},GET,Get-DattoRMMAuditDevice,,Yes,
Audit,/v2/audit/device/{deviceUid}/software,GET,Get-DattoRMMAuditDevice,,Yes,
Audit,/v2/audit/device/macAddress/{macAddress},GET,Get-DattoRMMAuditDevice,,Yes,
Device,/v2/device/{deviceUid}/site/{siteUid},PUT,Move-DattoRMMDevice,,Yes,
Device,/v2/device/{deviceUid}/quickjob,PUT,New-DattoRMMDeviceJob,,Yes,
Device,/v2/device/{deviceUid}/warranty,POST,Set-DattoRMMDeviceWarranty,,Yes,
Device,/v2/device/{deviceUid}/udf,POST,Set-DattoRMMDeviceUDF,,Yes,
Device,/v2/device/{deviceUid},GET,Get-DattoRMMDevice,,Yes,
Device,/v2/device/{deviceUid}/alerts/resolved,GET,Get-DattoRMMDeviceAlert,,Yes,
